winner,moves
white,c4 e5 Nc3 Bc5 g3 Nc6 Bg2 Nf6 Nf3 b6 Nxe5 Bb7 Nd3 Bd4 O-O Bxc3 dxc3 O-O Nb4 Re8 Nxc6 Bxc6 Bxc6 dxc6 Be3 Ng4 Qxd8 Raxd8 Rad1 Nxe3 fxe3 Rxd1 Rxd1 Rxe3
white,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 O-O-O d5 exd5 Nxd5 Nxc6 bxc6 Nxd5 cxd5 Qxd5 Qc7 Qc5 Qb7 b3 Bf5 Bd3 Rac8 Qa3 Bxd3 Rxd3 Qc7 c4 Qe5 Kc2 Rfd8 Rhd1 Rxd3 Rxd3 Rc6 Rd8+ Bf8 Qxa7 Rd6 Rxd6 exd6 Qd4 Qf5+ Qd3 Qf6 Bd4 Qf5 Qxf5 gxf5 a4 Bg7 Bxg7 Kxg7 a5 f4 a6 Kf8
white,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 Bc4 Be6 Bxe6 Nxd4 Bxf7+ Rxf7 Bxd4 d5 e5 Ne8 e6 Rf8 O-O-O Bxd4 Qxd4 Qa5 Nxd5 Rc8 Nxe7#
white,e4 d5 exd5 Qxd5 Qf3 Qe5+ Ne2 Nf6 d4 Qd5 Qxd5 Nxd5 a3 Nb6 Ng3 Nc6 Be3 e5 dxe5 Nxe5 Nd2 Be6 O-O-O Nbc4 Nxc4 Nxc4 Bxc4 Bxc4 Rhe1 Be7 Nf5 Be6 Nxg7+ Kf8 Bh6 Bg4 f3 Be6 Nxe6+ Ke8 Nxc7#
black,e4 g6 d4 Bg7 Nc3 d6 Be2 Nf6 Be3 O-O Qd2 c6 h3 b5 a3 a5 Nf3 Bd7 Bh6 Qc7 Bxg7 Kxg7 Qg5 h6 Qe3 e5 g4 exd4 Nxd4 Na6 Bd3 Nc5 f3 Rfe8 h4 d5 Nf5+ Bxf5 Qxc5 dxe4 gxf5 exd3+ Kf2 Re5 Qd4 Rd8 Qf4 Nh5 Qh2 dxc2 Ne4 gxf5 Rhg1+ Kh7 Ng5+ hxg5 hxg5 Rd2+
black,e4 c5 Nc3 d6 f4 Nc6 Bb5 Bd7 Nf3 e6 O-O Nf6 d3 Be7 Qe1 O-O h3 a6 Bxc6 Bxc6 g4 Nd7 a3 f5 exf5 exf5 Qe6+ Kh8 g5 Qe8 Kh2 Qf7 Qxf7 Rxf7
white,c4 d5 cxd5 Nf6 Nc3 Nxd5 e4 Nxc3 bxc3 e5 Nf3 Nc6 Bb5 Bg4 Qa4 Bd7 d4 a6 Bxc6 Bxc6 Qc2 exd4 Nxd4 Qf6 Nxc6 Qxc6 O-O O-O-O Be3 Bb4 c4 Rhe8 f3 f5 Bg5 Rd7 exf5 h6 Bc1 Qc5+ Kh1 Rd4 a3 Ba5 Bb2 Rxc4 Qf2 Qxf5 Rac1 Bb6 Qg3 Rxc1 Rxc1 g5 Bd4 Qa5 Bxb6 Qxb6 h3 Kb8 Re1 Rxe1+ Qxe1 Qb3 Qe8+ Ka7 Qf8 Qd1+ Kh2 Qd6+ Qxd6 cxd6 Kg3 Kb6 h4 Kc5 hxg5 hxg5 Kg4 d5 Kxg5 d4 Kf4 d3 Ke3 Kc4 Kd2 Kd4 g4 Ke5 Kxd3 b5 Kc3 a5 Kb3 Kd5 f4 Kc5 g5 a4+ Kc3
black,e4 c5 Nc3 Nc6 f4 e5 f5 Nf6 Nf3 d5 exd5 Nxd5 Bc4 Nxc3 bxc3 Bxf5 O-O Bg6 Bb5 Bd6 Bxc6+ bxc6 d4 exd4 Re1+ Kf8 cxd4 cxd4 Qxd4 Qb6 Qxb6 axb6 Nd4 Bc5 Be3
black,c4 Nf6 g3 d5 cxd5 Nxd5 Bg2 Nc6 Nc3 Nb6 e3 Bf5 d4 e6 Nge2 Nb4 e4 Bg6 O-O Be7 a3 Nc6 b3 Qd7 Be3 O-O-O Qc2 Kb8 Rfd1 Nd5 Nxd5 exd5 Nc3 dxe4 Bxe4 Bxe4 Nxe4 Qg4 b4 h6 Rac1 Qf5 Kg2 Rhe8 f3 Bg5 Bxg5 hxg5 Qc4 g4 Nc5 Qxf3+ Kg1 Re2
black,b3 c5 Bb2 Nc6 c4 e5 e3 Nf6 Ne2 d5 cxd5 Nxd5 Nbc3 Be6 g3 Nxc3 dxc3 Bd5 Rg1 Bf3 Qc2 Qc7 O-O-O Be7 Bh3 Rd8 Rxd8+ Nxd8 Rd1 Ne6 Bxe6 fxe6 c4 Bf6 Rd2 Ke7 Nc3 Rd8 Nb5 Rxd2 Qxd2 Qb6 Bc3 a6 Ba5 Qc6 Qd8+ Kf7 Nd6+ Kg6 Qe8+ Qxe8 Nxe8 Be7 Bc3 Kf7 Nc7 Bd6 Na8 Ke7 Nb6 Bc7 Na4 Kd6 Kd2 b5 Nb2 b4 Nd3 bxc3+ Kxc3 Ba5+ Kc2 Be4 a3 Bxd3+ Kxd3 Bd8 e4 Ke7 b4 cxb4 axb4 a5 bxa5 Bxa5 f3 Kd6 g4 Kc5 h3 Bd8 Kc3 Bg5 Kd3 Kb4 c5 Kxc5 Kc3 Bf4 Kd3 Kb4 h4 h6 h5 Kb3 Ke2 Kc3 Ke1 Kd3 Kf2 Kd2 Kf1 Ke3 Kg2 Ke2
